D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 1000000 env-steps
step     2000 | loss 0.7466 | eps 0.962 | buf    2000 | score50   0.00 (max 0) | 2699.5 st/s
step     4000 | loss 0.0245 | eps 0.924 | buf    4000 | score50   0.00 (max 0) | 1304.8 st/s
step     6000 | loss 0.0774 | eps 0.886 | buf    6000 | score50   0.00 (max 0) | 1146.6 st/s
step     8000 | loss 0.0606 | eps 0.848 | buf    8000 | score50   0.00 (max 0) | 1065.6 st/s
step    10000 | loss 0.0176 | eps 0.810 | buf   10000 | score50   0.00 (max 0) | 1015.3 st/s
step    12000 | loss 0.0057 | eps 0.772 | buf   12000 | score50   0.00 (max 0) |  990.4 st/s
step    14000 | loss 0.0053 | eps 0.734 | buf   14000 | score50   0.00 (max 0) |  950.8 st/s
step    16000 | loss 0.0006 | eps 0.696 | buf   16000 | score50   0.00 (max 0) |  942.6 st/s
step    18000 | loss 0.0007 | eps 0.658 | buf   18000 | score50   0.00 (max 0) |  915.7 st/s
step    20000 | loss 0.0005 | eps 0.620 | buf   20000 | score50   0.00 (max 0) |  905.7 st/s
step    22000 | loss 0.0006 | eps 0.582 | buf   22000 | score50   0.00 (max 0) |  901.1 st/s
step    24000 | loss 0.0013 | eps 0.544 | buf   24000 | score50   0.00 (max 0) |  886.8 st/s
  >> EVAL @ 25000: mean=0.00 max=0 (best_mean=0.00)
step    26000 | loss 0.0005 | eps 0.506 | buf   26000 | score50   0.00 (max 0) |  867.4 st/s
step    28000 | loss 0.0004 | eps 0.468 | buf   28000 | score50   0.00 (max 0) |  853.2 st/s
step    30000 | loss 0.0005 | eps 0.430 | buf   30000 | score50   0.00 (max 0) |  853.6 st/s
step    32000 | loss 0.0003 | eps 0.392 | buf   32000 | score50   0.00 (max 0) |  846.1 st/s
step    34000 | loss 0.0004 | eps 0.354 | buf   34000 | score50   0.00 (max 0) |  845.6 st/s
step    36000 | loss 0.0012 | eps 0.316 | buf   36000 | score50   0.00 (max 0) |  845.4 st/s
step    38000 | loss 0.0001 | eps 0.278 | buf   38000 | score50   0.00 (max 0) |  836.7 st/s
step    40000 | loss 0.0001 | eps 0.240 | buf   40000 | score50   0.00 (max 0) |  836.2 st/s
step    42000 | loss 0.0003 | eps 0.202 | buf   42000 | score50   0.00 (max 0) |  836.1 st/s
step    44000 | loss 0.0031 | eps 0.164 | buf   44000 | score50   0.00 (max 0) |  836.0 st/s
step    46000 | loss 0.0008 | eps 0.126 | buf   46000 | score50   0.00 (max 0) |  829.3 st/s
step    48000 | loss 0.0002 | eps 0.088 | buf   48000 | score50   0.00 (max 0) |  827.7 st/s
step    50000 | loss 0.0016 | eps 0.050 | buf   50000 | score50   0.00 (max 0) |  821.1 st/s
  >> EVAL @ 50000: mean=0.00 max=0 (best_mean=0.00)
step    52000 | loss 0.0007 | eps 0.050 | buf   52000 | score50   0.00 (max 0) |  796.6 st/s
step    54000 | loss 0.0019 | eps 0.050 | buf   54000 | score50   0.08 (max 1) |  794.0 st/s
step    56000 | loss 0.0319 | eps 0.050 | buf   56000 | score50   0.12 (max 1) |  795.3 st/s
step    58000 | loss 0.0209 | eps 0.050 | buf   58000 | score50   0.16 (max 1) |  795.2 st/s
step    60000 | loss 0.0044 | eps 0.050 | buf   60000 | score50   0.12 (max 1) |  794.9 st/s
step    62000 | loss 0.0020 | eps 0.050 | buf   62000 | score50   0.10 (max 1) |  794.4 st/s
step    64000 | loss 0.0030 | eps 0.050 | buf   64000 | score50   0.10 (max 1) |  789.9 st/s
step    66000 | loss 0.0023 | eps 0.050 | buf   66000 | score50   0.08 (max 1) |  789.8 st/s
step    68000 | loss 0.0045 | eps 0.050 | buf   68000 | score50   0.04 (max 1) |  789.2 st/s
step    70000 | loss 0.0338 | eps 0.050 | buf   70000 | score50   0.04 (max 1) |  788.4 st/s
step    72000 | loss 0.0274 | eps 0.050 | buf   72000 | score50   0.06 (max 2) |  778.9 st/s
step    74000 | loss 0.0048 | eps 0.050 | buf   74000 | score50   0.06 (max 2) |  777.0 st/s
  >> EVAL @ 75000: mean=0.15 max=2 (best_mean=0.15)
step    76000 | loss 0.0089 | eps 0.050 | buf   76000 | score50   0.06 (max 2) |  750.0 st/s
step    78000 | loss 0.0019 | eps 0.050 | buf   78000 | score50   0.04 (max 1) |  745.2 st/s
step    80000 | loss 0.0076 | eps 0.050 | buf   80000 | score50   0.10 (max 1) |  743.1 st/s
step    82000 | loss 0.0219 | eps 0.050 | buf   82000 | score50   0.10 (max 1) |  740.7 st/s
step    84000 | loss 0.0028 | eps 0.050 | buf   84000 | score50   0.06 (max 1) |  735.5 st/s
step    86000 | loss 0.0067 | eps 0.050 | buf   86000 | score50   0.04 (max 1) |  733.6 st/s
step    88000 | loss 0.0023 | eps 0.050 | buf   88000 | score50   0.04 (max 1) |  730.1 st/s
step    90000 | loss 0.0051 | eps 0.050 | buf   90000 | score50   0.06 (max 1) |  729.3 st/s
step    92000 | loss 0.0021 | eps 0.050 | buf   92000 | score50   0.12 (max 2) |  725.2 st/s
step    94000 | loss 0.0028 | eps 0.050 | buf   94000 | score50   0.16 (max 2) |  723.9 st/s
step    96000 | loss 0.0072 | eps 0.050 | buf   96000 | score50   0.12 (max 2) |  720.2 st/s
step    98000 | loss 0.0015 | eps 0.050 | buf   98000 | score50   0.14 (max 2) |  718.6 st/s
step   100000 | loss 0.0033 | eps 0.050 | buf  100000 | score50   0.12 (max 2) |  716.4 st/s
  >> EVAL @ 100000: mean=1.55 max=4 (best_mean=1.55)
step   102000 | loss 0.0078 | eps 0.050 | buf  100000 | score50   0.12 (max 2) |  683.5 st/s
step   104000 | loss 0.0130 | eps 0.050 | buf  100000 | score50   0.16 (max 3) |  682.9 st/s
step   106000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.08 (max 3) |  682.1 st/s
step   108000 | loss 0.0012 | eps 0.050 | buf  100000 | score50   0.10 (max 3) |  682.2 st/s
step   110000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.14 (max 3) |  679.8 st/s
step   112000 | loss 0.0029 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  679.5 st/s
step   114000 | loss 0.0021 | eps 0.050 | buf  100000 | score50   0.26 (max 3) |  678.1 st/s
step   116000 | loss 0.0150 | eps 0.050 | buf  100000 | score50   0.26 (max 3) |  673.4 st/s
step   118000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.30 (max 3) |  671.9 st/s
step   120000 | loss 0.0039 | eps 0.050 | buf  100000 | score50   0.22 (max 2) |  670.0 st/s
step   122000 | loss 0.0027 | eps 0.050 | buf  100000 | score50   0.22 (max 2) |  669.5 st/s
step   124000 | loss 0.0330 | eps 0.050 | buf  100000 | score50   0.08 (max 1) |  667.7 st/s
  >> EVAL @ 125000: mean=1.00 max=5 (best_mean=1.55)
step   126000 | loss 0.0434 | eps 0.050 | buf  100000 | score50   0.06 (max 1) |  652.5 st/s
step   128000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.10 (max 1) |  650.5 st/s
step   130000 | loss 0.0449 | eps 0.050 | buf  100000 | score50   0.08 (max 1) |  650.2 st/s
step   132000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.16 (max 3) |  649.0 st/s
step   134000 | loss 0.0221 | eps 0.050 | buf  100000 | score50   0.16 (max 3) |  647.7 st/s
step   136000 | loss 0.0172 | eps 0.050 | buf  100000 | score50   0.22 (max 3) |  646.8 st/s
step   138000 | loss 0.0346 | eps 0.050 | buf  100000 | score50   0.20 (max 2) |  646.8 st/s
step   140000 | loss 0.0029 | eps 0.050 | buf  100000 | score50   0.30 (max 3) |  646.0 st/s
step   142000 | loss 0.0180 | eps 0.050 | buf  100000 | score50   0.36 (max 3) |  644.6 st/s
step   144000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  644.8 st/s
step   146000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  643.9 st/s
step   148000 | loss 0.0294 | eps 0.050 | buf  100000 | score50   0.34 (max 3) |  644.3 st/s
step   150000 | loss 0.0013 | eps 0.050 | buf  100000 | score50   0.34 (max 3) |  643.3 st/s
  >> EVAL @ 150000: mean=1.60 max=13 (best_mean=1.60)
step   152000 | loss 0.0044 | eps 0.050 | buf  100000 | score50   0.24 (max 2) |  627.8 st/s
step   154000 | loss 0.0038 | eps 0.050 | buf  100000 | score50   0.22 (max 2) |  627.3 st/s
step   156000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.30 (max 2) |  627.2 st/s
step   158000 | loss 0.0529 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  628.1 st/s
step   160000 | loss 0.0107 | eps 0.050 | buf  100000 | score50   0.18 (max 1) |  627.4 st/s
step   162000 | loss 0.0096 | eps 0.050 | buf  100000 | score50   0.16 (max 1) |  627.9 st/s
step   164000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.12 (max 1) |  628.9 st/s
step   166000 | loss 0.0405 | eps 0.050 | buf  100000 | score50   0.26 (max 4) |  629.5 st/s
step   168000 | loss 0.0246 | eps 0.050 | buf  100000 | score50   0.36 (max 4) |  628.7 st/s
step   170000 | loss 0.0101 | eps 0.050 | buf  100000 | score50   0.38 (max 4) |  629.3 st/s
step   172000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.50 (max 4) |  629.0 st/s
step   174000 | loss 0.0129 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  628.4 st/s
  >> EVAL @ 175000: mean=5.10 max=19 (best_mean=5.10)
step   176000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.40 (max 3) |  605.0 st/s
step   178000 | loss 0.0051 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  605.5 st/s
step   180000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.30 (max 2) |  606.7 st/s
step   182000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  605.7 st/s
step   184000 | loss 0.0271 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  606.5 st/s
step   186000 | loss 0.0028 | eps 0.050 | buf  100000 | score50   0.34 (max 5) |  607.3 st/s
step   188000 | loss 0.0029 | eps 0.050 | buf  100000 | score50   0.52 (max 5) |  608.0 st/s
step   190000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.50 (max 5) |  607.4 st/s
step   192000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.46 (max 5) |  608.0 st/s
step   194000 | loss 0.0291 | eps 0.050 | buf  100000 | score50   0.26 (max 2) |  608.8 st/s
step   196000 | loss 0.0063 | eps 0.050 | buf  100000 | score50   0.22 (max 2) |  608.5 st/s
step   198000 | loss 0.0169 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  608.1 st/s
