D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 200000 env-steps
step     2000 | loss 0.0344 | eps 0.962 | buf    2000 | score50   0.00 (max 0) | 1816.8 st/s
step     4000 | loss 0.0214 | eps 0.924 | buf    4000 | score50   0.00 (max 0) |  883.9 st/s
step     6000 | loss 0.0021 | eps 0.886 | buf    6000 | score50   0.00 (max 0) |  746.7 st/s
step     8000 | loss 0.0003 | eps 0.848 | buf    8000 | score50   0.00 (max 0) |  686.8 st/s
step    10000 | loss 0.0002 | eps 0.810 | buf   10000 | score50   0.00 (max 0) |  677.8 st/s
step    12000 | loss 0.0001 | eps 0.772 | buf   12000 | score50   0.00 (max 0) |  676.9 st/s
step    14000 | loss 0.0004 | eps 0.734 | buf   14000 | score50   0.00 (max 0) |  656.0 st/s
step    16000 | loss 0.0004 | eps 0.696 | buf   16000 | score50   0.00 (max 0) |  662.9 st/s
step    18000 | loss 0.0008 | eps 0.658 | buf   18000 | score50   0.00 (max 0) |  675.0 st/s
step    20000 | loss 0.0004 | eps 0.620 | buf   20000 | score50   0.00 (max 0) |  673.6 st/s
step    22000 | loss 0.0003 | eps 0.582 | buf   22000 | score50   0.00 (max 0) |  666.5 st/s
step    24000 | loss 0.0002 | eps 0.544 | buf   24000 | score50   0.00 (max 0) |  663.9 st/s
  >> EVAL @ 25000: mean=0.00 max=0 (best_mean=0.00)
step    26000 | loss 0.0002 | eps 0.506 | buf   26000 | score50   0.00 (max 0) |  627.8 st/s
step    28000 | loss 0.0017 | eps 0.468 | buf   28000 | score50   0.00 (max 0) |  618.5 st/s
step    30000 | loss 0.0023 | eps 0.430 | buf   30000 | score50   0.00 (max 0) |  612.8 st/s
step    32000 | loss 0.0004 | eps 0.392 | buf   32000 | score50   0.00 (max 0) |  609.8 st/s
step    34000 | loss 0.0001 | eps 0.354 | buf   34000 | score50   0.00 (max 0) |  610.6 st/s
step    36000 | loss 0.0002 | eps 0.316 | buf   36000 | score50   0.00 (max 0) |  615.5 st/s
step    38000 | loss 0.0002 | eps 0.278 | buf   38000 | score50   0.00 (max 0) |  616.0 st/s
step    40000 | loss 0.0001 | eps 0.240 | buf   40000 | score50   0.00 (max 0) |  616.3 st/s
step    42000 | loss 0.0001 | eps 0.202 | buf   42000 | score50   0.00 (max 0) |  614.4 st/s
step    44000 | loss 0.0002 | eps 0.164 | buf   44000 | score50   0.00 (max 0) |  611.5 st/s
step    46000 | loss 0.0001 | eps 0.126 | buf   46000 | score50   0.00 (max 0) |  605.0 st/s
step    48000 | loss 0.0001 | eps 0.088 | buf   48000 | score50   0.00 (max 0) |  602.4 st/s
step    50000 | loss 0.0021 | eps 0.050 | buf   50000 | score50   0.00 (max 0) |  600.2 st/s
  >> EVAL @ 50000: mean=0.00 max=0 (best_mean=0.00)
step    52000 | loss 0.0004 | eps 0.050 | buf   52000 | score50   0.00 (max 0) |  587.0 st/s
step    54000 | loss 0.0001 | eps 0.050 | buf   54000 | score50   0.00 (max 0) |  586.0 st/s
step    56000 | loss 0.0001 | eps 0.050 | buf   56000 | score50   0.04 (max 1) |  587.5 st/s
step    58000 | loss 0.0002 | eps 0.050 | buf   58000 | score50   0.12 (max 2) |  584.5 st/s
step    60000 | loss 0.0005 | eps 0.050 | buf   60000 | score50   0.14 (max 2) |  580.5 st/s
step    62000 | loss 0.0009 | eps 0.050 | buf   62000 | score50   0.16 (max 2) |  575.0 st/s
step    64000 | loss 0.0002 | eps 0.050 | buf   64000 | score50   0.18 (max 2) |  572.0 st/s
step    66000 | loss 0.0004 | eps 0.050 | buf   66000 | score50   0.16 (max 2) |  571.3 st/s
step    68000 | loss 0.0019 | eps 0.050 | buf   68000 | score50   0.20 (max 2) |  572.9 st/s
step    70000 | loss 0.0007 | eps 0.050 | buf   70000 | score50   0.18 (max 2) |  573.0 st/s
step    72000 | loss 0.0065 | eps 0.050 | buf   72000 | score50   0.12 (max 2) |  572.7 st/s
