D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=rainbow  n_envs=8
[train] starting — target 300000 env-steps
step     2000 | loss None | eps 0.962 | buf    1872 | score50   0.00 (max 0) | 2422.7 st/s
step     4000 | loss 0.0444 | eps 0.924 | buf    3752 | score50   0.00 (max 0) |  853.9 st/s
step     6000 | loss 0.0073 | eps 0.886 | buf    5632 | score50   0.00 (max 0) |  697.9 st/s
step     8000 | loss 0.0008 | eps 0.848 | buf    7514 | score50   0.00 (max 0) |  621.5 st/s
step    10000 | loss 0.0006 | eps 0.810 | buf    9398 | score50   0.00 (max 0) |  609.8 st/s
step    12000 | loss 0.0010 | eps 0.772 | buf   11284 | score50   0.00 (max 0) |  619.4 st/s
step    14000 | loss 0.0009 | eps 0.734 | buf   13170 | score50   0.00 (max 0) |  620.8 st/s
step    16000 | loss 0.0008 | eps 0.696 | buf   15058 | score50   0.00 (max 0) |  618.9 st/s
step    18000 | loss 0.0008 | eps 0.658 | buf   16944 | score50   0.00 (max 0) |  622.8 st/s
step    20000 | loss 0.0006 | eps 0.620 | buf   18834 | score50   0.00 (max 0) |  616.8 st/s
step    22000 | loss 0.0007 | eps 0.582 | buf   20728 | score50   0.00 (max 0) |  605.7 st/s
step    24000 | loss 0.0007 | eps 0.544 | buf   22624 | score50   0.00 (max 0) |  608.9 st/s
  >> EVAL @ 25000: mean=0.00 max=0 (best_mean=0.00)
step    26000 | loss 0.0006 | eps 0.506 | buf   24522 | score50   0.00 (max 0) |  582.6 st/s
step    28000 | loss 0.0007 | eps 0.468 | buf   26426 | score50   0.00 (max 0) |  583.1 st/s
step    30000 | loss 0.0007 | eps 0.430 | buf   28328 | score50   0.00 (max 0) |  586.5 st/s
step    32000 | loss 0.0007 | eps 0.392 | buf   30234 | score50   0.00 (max 0) |  584.5 st/s
step    34000 | loss 0.0005 | eps 0.354 | buf   32140 | score50   0.00 (max 0) |  587.1 st/s
step    36000 | loss 0.0006 | eps 0.316 | buf   34054 | score50   0.00 (max 0) |  589.9 st/s
step    38000 | loss 0.0006 | eps 0.278 | buf   35982 | score50   0.00 (max 0) |  593.8 st/s
step    40000 | loss 0.0006 | eps 0.240 | buf   37910 | score50   0.00 (max 0) |  595.0 st/s
step    42000 | loss 0.0018 | eps 0.202 | buf   39850 | score50   0.00 (max 0) |  597.5 st/s
step    44000 | loss 0.0009 | eps 0.164 | buf   41798 | score50   0.00 (max 0) |  597.2 st/s
step    46000 | loss 0.0028 | eps 0.126 | buf   43748 | score50   0.00 (max 0) |  597.1 st/s
step    48000 | loss 0.0019 | eps 0.088 | buf   45698 | score50   0.00 (max 0) |  597.9 st/s
step    50000 | loss 0.0013 | eps 0.050 | buf   47664 | score50   0.00 (max 0) |  597.0 st/s
  >> EVAL @ 50000: mean=0.00 max=0 (best_mean=0.00)
step    52000 | loss 0.0040 | eps 0.050 | buf   49632 | score50   0.00 (max 0) |  579.9 st/s
step    54000 | loss 0.0027 | eps 0.050 | buf   51600 | score50   0.00 (max 0) |  582.4 st/s
step    56000 | loss 0.0040 | eps 0.050 | buf   53568 | score50   0.02 (max 1) |  582.4 st/s
step    58000 | loss 0.0014 | eps 0.050 | buf   55536 | score50   0.02 (max 1) |  585.4 st/s
step    60000 | loss 0.0023 | eps 0.050 | buf   57502 | score50   0.02 (max 1) |  584.1 st/s
step    62000 | loss 0.0030 | eps 0.050 | buf   59470 | score50   0.00 (max 0) |  585.6 st/s
step    64000 | loss 0.0059 | eps 0.050 | buf   61441 | score50   0.00 (max 0) |  587.9 st/s
step    66000 | loss 0.0042 | eps 0.050 | buf   63410 | score50   0.00 (max 0) |  588.6 st/s
step    68000 | loss 0.0056 | eps 0.050 | buf   65376 | score50   0.02 (max 1) |  588.6 st/s
step    70000 | loss 0.0061 | eps 0.050 | buf   67344 | score50   0.04 (max 1) |  587.9 st/s
step    72000 | loss 0.0049 | eps 0.050 | buf   69312 | score50   0.04 (max 1) |  588.6 st/s
step    74000 | loss 0.0035 | eps 0.050 | buf   71281 | score50   0.02 (max 1) |  589.5 st/s
  >> EVAL @ 75000: mean=0.20 max=2 (best_mean=0.20)
step    76000 | loss 0.0057 | eps 0.050 | buf   73244 | score50   0.00 (max 0) |  578.5 st/s
step    78000 | loss 0.0056 | eps 0.050 | buf   75210 | score50   0.00 (max 0) |  579.6 st/s
step    80000 | loss 0.0043 | eps 0.050 | buf   77180 | score50   0.00 (max 0) |  579.1 st/s
step    82000 | loss 0.0020 | eps 0.050 | buf   79158 | score50   0.04 (max 1) |  580.1 st/s
step    84000 | loss 0.0041 | eps 0.050 | buf   81126 | score50   0.08 (max 1) |  581.0 st/s
step    86000 | loss 0.0052 | eps 0.050 | buf   83097 | score50   0.12 (max 1) |  579.3 st/s
step    88000 | loss 0.0015 | eps 0.050 | buf   85062 | score50   0.10 (max 1) |  578.8 st/s
step    90000 | loss 0.0040 | eps 0.050 | buf   87030 | score50   0.12 (max 1) |  577.8 st/s
step    92000 | loss 0.0027 | eps 0.050 | buf   89006 | score50   0.14 (max 1) |  578.1 st/s
step    94000 | loss 0.0067 | eps 0.050 | buf   90978 | score50   0.22 (max 1) |  576.9 st/s
step    96000 | loss 0.0025 | eps 0.050 | buf   92949 | score50   0.26 (max 1) |  575.9 st/s
step    98000 | loss 0.0070 | eps 0.050 | buf   94916 | score50   0.22 (max 1) |  576.3 st/s
step   100000 | loss 0.0027 | eps 0.050 | buf   96886 | score50   0.14 (max 1) |  574.6 st/s
  >> EVAL @ 100000: mean=0.15 max=2 (best_mean=0.20)
step   102000 | loss 0.0034 | eps 0.050 | buf   98854 | score50   0.10 (max 1) |  564.0 st/s
step   104000 | loss 0.0044 | eps 0.050 | buf  100822 | score50   0.10 (max 1) |  562.6 st/s
step   106000 | loss 0.0064 | eps 0.050 | buf  102790 | score50   0.08 (max 1) |  562.8 st/s
step   108000 | loss 0.0048 | eps 0.050 | buf  104762 | score50   0.12 (max 2) |  561.8 st/s
step   110000 | loss 0.0037 | eps 0.050 | buf  106732 | score50   0.10 (max 2) |  561.7 st/s
step   112000 | loss 0.0060 | eps 0.050 | buf  108708 | score50   0.14 (max 2) |  561.6 st/s
