D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=rainbow  n_envs=8
[train] starting — target 300000 env-steps
step     2000 | loss None | eps 1.000 | buf    1960 | score50   0.00 (max 0) | 2501.1 st/s
step     4000 | loss 3.2135 | eps 1.000 | buf    3856 | score50   0.02 (max 1) | 1003.6 st/s
step     6000 | loss 3.1962 | eps 1.000 | buf    5712 | score50   0.00 (max 0) |  854.2 st/s
step     8000 | loss 3.0513 | eps 1.000 | buf    7568 | score50   0.00 (max 0) |  788.2 st/s
step    10000 | loss 3.2845 | eps 1.000 | buf    9436 | score50   0.00 (max 0) |  756.9 st/s
step    12000 | loss 2.9669 | eps 1.000 | buf   11305 | score50   0.00 (max 0) |  726.2 st/s
step    14000 | loss 2.8541 | eps 1.000 | buf   13170 | score50   0.00 (max 0) |  711.3 st/s
step    16000 | loss 2.8901 | eps 1.000 | buf   15028 | score50   0.00 (max 0) |  700.4 st/s
step    18000 | loss 2.6642 | eps 1.000 | buf   16898 | score50   0.00 (max 0) |  692.7 st/s
step    20000 | loss 2.8195 | eps 1.000 | buf   18785 | score50   0.00 (max 0) |  684.7 st/s
step    22000 | loss 2.7042 | eps 1.000 | buf   20720 | score50   0.00 (max 0) |  673.7 st/s
step    24000 | loss 2.8698 | eps 1.000 | buf   22672 | score50   0.00 (max 0) |  660.1 st/s
  >> EVAL @ 25000: mean=0.00 max=0 (best_mean=0.00)
step    26000 | loss 2.7030 | eps 1.000 | buf   24632 | score50   0.14 (max 2) |  641.5 st/s
step    28000 | loss 2.9687 | eps 1.000 | buf   26602 | score50   0.18 (max 2) |  631.0 st/s
step    30000 | loss 3.0805 | eps 1.000 | buf   28563 | score50   0.16 (max 2) |  630.5 st/s
step    32000 | loss 2.8667 | eps 1.000 | buf   30524 | score50   0.08 (max 1) |  630.9 st/s
step    34000 | loss 2.8226 | eps 1.000 | buf   32492 | score50   0.12 (max 2) |  632.0 st/s
step    36000 | loss 2.9377 | eps 1.000 | buf   34465 | score50   0.12 (max 2) |  632.4 st/s
step    38000 | loss 2.8880 | eps 1.000 | buf   36432 | score50   0.12 (max 2) |  632.4 st/s
step    40000 | loss 2.8871 | eps 1.000 | buf   38402 | score50   0.06 (max 1) |  632.9 st/s
step    42000 | loss 2.9478 | eps 1.000 | buf   40374 | score50   0.08 (max 1) |  633.0 st/s
step    44000 | loss 2.9482 | eps 1.000 | buf   42344 | score50   0.10 (max 1) |  632.9 st/s
step    46000 | loss 2.9787 | eps 1.000 | buf   44316 | score50   0.20 (max 1) |  633.2 st/s
step    48000 | loss 2.9999 | eps 1.000 | buf   46284 | score50   0.14 (max 1) |  635.9 st/s
step    50000 | loss 2.9677 | eps 1.000 | buf   48252 | score50   0.16 (max 1) |  632.5 st/s
  >> EVAL @ 50000: mean=0.60 max=3 (best_mean=0.60)
step    52000 | loss 2.9722 | eps 1.000 | buf   50228 | score50   0.08 (max 1) |  598.0 st/s
step    54000 | loss 2.8912 | eps 1.000 | buf   52192 | score50   0.12 (max 1) |  596.8 st/s
step    56000 | loss 2.9647 | eps 1.000 | buf   54160 | score50   0.08 (max 1) |  598.4 st/s
step    58000 | loss 2.8096 | eps 1.000 | buf   56126 | score50   0.06 (max 1) |  600.0 st/s
step    60000 | loss 2.9197 | eps 1.000 | buf   58092 | score50   0.00 (max 0) |  601.8 st/s
step    62000 | loss 2.8619 | eps 1.000 | buf   60066 | score50   0.06 (max 1) |  601.6 st/s
step    64000 | loss 2.8879 | eps 1.000 | buf   62030 | score50   0.06 (max 1) |  602.4 st/s
step    66000 | loss 2.8499 | eps 1.000 | buf   63998 | score50   0.06 (max 1) |  603.1 st/s
step    68000 | loss 2.7456 | eps 1.000 | buf   65966 | score50   0.00 (max 0) |  602.2 st/s
step    70000 | loss 2.8166 | eps 1.000 | buf   67934 | score50   0.00 (max 0) |  602.0 st/s
step    72000 | loss 2.8107 | eps 1.000 | buf   69896 | score50   0.00 (max 0) |  600.9 st/s
step    74000 | loss 2.7896 | eps 1.000 | buf   71864 | score50   0.00 (max 0) |  601.2 st/s
  >> EVAL @ 75000: mean=0.00 max=0 (best_mean=0.60)
step    76000 | loss 2.7649 | eps 1.000 | buf   73829 | score50   0.00 (max 0) |  591.9 st/s
step    78000 | loss 2.7497 | eps 1.000 | buf   75796 | score50   0.00 (max 0) |  592.9 st/s
step    80000 | loss 2.7211 | eps 1.000 | buf   77762 | score50   0.00 (max 0) |  593.6 st/s
step    82000 | loss 2.7074 | eps 1.000 | buf   79728 | score50   0.00 (max 0) |  594.7 st/s
step    84000 | loss 2.6756 | eps 1.000 | buf   81692 | score50   0.00 (max 0) |  596.0 st/s
step    86000 | loss 2.6703 | eps 1.000 | buf   83654 | score50   0.00 (max 0) |  597.0 st/s
step    88000 | loss 2.4416 | eps 1.000 | buf   85616 | score50   0.00 (max 0) |  598.1 st/s
step    90000 | loss 2.6649 | eps 1.000 | buf   87570 | score50   0.00 (max 0) |  599.4 st/s
step    92000 | loss 2.6269 | eps 1.000 | buf   89528 | score50   0.00 (max 0) |  600.9 st/s
step    94000 | loss 2.6126 | eps 1.000 | buf   91482 | score50   0.00 (max 0) |  602.3 st/s
step    96000 | loss 2.6065 | eps 1.000 | buf   93440 | score50   0.00 (max 0) |  603.7 st/s
step    98000 | loss 2.5801 | eps 1.000 | buf   95395 | score50   0.00 (max 0) |  604.0 st/s
step   100000 | loss 2.5603 | eps 1.000 | buf   97334 | score50   0.00 (max 0) |  605.0 st/s
  >> EVAL @ 100000: mean=0.00 max=0 (best_mean=0.60)
step   102000 | loss 2.5550 | eps 1.000 | buf   99294 | score50   0.00 (max 0) |  597.2 st/s
step   104000 | loss 2.4846 | eps 1.000 | buf  101244 | score50   0.00 (max 0) |  598.1 st/s
step   106000 | loss 2.5340 | eps 1.000 | buf  103190 | score50   0.00 (max 0) |  599.3 st/s
step   108000 | loss 2.5173 | eps 1.000 | buf  105150 | score50   0.00 (max 0) |  600.0 st/s
step   110000 | loss 2.4980 | eps 1.000 | buf  107108 | score50   0.00 (max 0) |  600.2 st/s
step   112000 | loss 2.5025 | eps 1.000 | buf  109074 | score50   0.00 (max 0) |  600.8 st/s
step   114000 | loss 2.4771 | eps 1.000 | buf  111036 | score50   0.00 (max 0) |  600.0 st/s
step   116000 | loss 2.4562 | eps 1.000 | buf  113002 | score50   0.00 (max 0) |  600.0 st/s
step   118000 | loss 2.2975 | eps 1.000 | buf  114967 | score50   0.00 (max 0) |  600.4 st/s
step   120000 | loss 1.9665 | eps 1.000 | buf  116934 | score50   0.00 (max 0) |  601.4 st/s
step   122000 | loss 2.2231 | eps 1.000 | buf  118902 | score50   0.00 (max 0) |  601.9 st/s
step   124000 | loss 2.4079 | eps 1.000 | buf  120872 | score50   0.00 (max 0) |  602.7 st/s
  >> EVAL @ 125000: mean=0.70 max=4 (best_mean=0.70)
